=====Sat Aug 22 13:36:21 2015
=====640 x 360
328.398344 kbps in 0.991625 seconds
570.028563 kbps in 0.998785 seconds
542.459875 kbps in 0.985024 seconds
346.402688 kbps in 1.004334 seconds
239.811281 kbps in 1.011929 seconds
297.022219 kbps in 0.990633 seconds
230.998406 kbps in 1.017704 seconds
238.264609 kbps in 1.037737 seconds
217.294375 kbps in 1.018342 seconds
243.531422 kbps in 0.988817 seconds
250.891844 kbps in 1.031839 seconds
263.074781 kbps in 1.026689 seconds
220.142500 kbps in 0.985071 seconds
252.292016 kbps in 0.981783 seconds
318.108594 kbps in 0.988895 seconds
265.211469 kbps in 0.983879 seconds
293.878406 kbps in 0.998236 seconds
271.506125 kbps in 1.010305 seconds
214.203359 kbps in 0.986950 seconds
215.709016 kbps in 1.034616 seconds
202.701719 kbps in 1.006247 seconds
162.942266 kbps in 0.997163 seconds
220.511141 kbps in 0.999242 seconds
218.544266 kbps in 0.995423 seconds
229.938250 kbps in 0.986978 seconds
248.251781 kbps in 0.993443 seconds
267.718906 kbps in 0.998510 seconds
302.532500 kbps in 0.999562 seconds
273.827063 kbps in 1.021024 seconds
507.055625 kbps in 1.013017 seconds
271.486406 kbps in 1.003542 seconds
202.990969 kbps in 1.004892 seconds
216.946109 kbps in 1.004821 seconds
236.570437 kbps in 1.016526 seconds
232.347234 kbps in 0.994787 seconds
233.356141 kbps in 0.986475 seconds
226.155344 kbps in 0.981803 seconds
233.660812 kbps in 1.012750 seconds
267.696687 kbps in 0.984816 seconds
259.853172 kbps in 1.010386 seconds
229.064000 kbps in 0.982363 seconds
280.024969 kbps in 0.981084 seconds
293.799219 kbps in 0.996245 seconds
296.814813 kbps in 0.986285 seconds
267.451000 kbps in 1.054967 seconds
324.011375 kbps in 1.010804 seconds
261.329000 kbps in 1.007282 seconds
267.989500 kbps in 1.000278 seconds
287.715469 kbps in 1.024401 seconds
269.798594 kbps in 1.008278 seconds
312.192219 kbps in 0.991338 seconds
225.658906 kbps in 1.012218 seconds
211.760531 kbps in 1.019000 seconds
288.174969 kbps in 1.037342 seconds
280.214156 kbps in 1.033067 seconds
276.566688 kbps in 1.017881 seconds
266.545937 kbps in 1.000593 seconds
292.509187 kbps in 1.013575 seconds
261.095750 kbps in 1.015658 seconds
246.444516 kbps in 0.980667 seconds
266.673437 kbps in 0.983855 seconds
262.068344 kbps in 0.989116 seconds
232.913563 kbps in 1.005695 seconds
297.660188 kbps in 0.987596 seconds
292.192281 kbps in 1.017467 seconds
313.286156 kbps in 0.984378 seconds
321.898094 kbps in 1.001932 seconds
237.244828 kbps in 1.001632 seconds
252.481359 kbps in 1.007314 seconds
293.433187 kbps in 1.014691 seconds
273.797250 kbps in 0.982099 seconds
278.116438 kbps in 0.983099 seconds
269.847781 kbps in 0.999734 seconds
298.348219 kbps in 1.010363 seconds
257.070453 kbps in 1.012734 seconds
307.950406 kbps in 1.029958 seconds
216.761063 kbps in 0.985749 seconds
285.113375 kbps in 1.009451 seconds
235.761313 kbps in 1.010819 seconds
298.072906 kbps in 0.993985 seconds
244.956234 kbps in 0.981955 seconds
274.200750 kbps in 1.008575 seconds
304.533500 kbps in 0.983721 seconds
309.328531 kbps in 1.039542 seconds
284.933969 kbps in 0.982010 seconds
270.135312 kbps in 1.020259 seconds
298.816750 kbps in 1.011349 seconds
279.474969 kbps in 1.011926 seconds
254.530188 kbps in 1.007629 seconds
328.030375 kbps in 0.983665 seconds
206.949250 kbps in 1.027073 seconds
287.282188 kbps in 1.005339 seconds
277.537906 kbps in 0.987512 seconds
283.626688 kbps in 1.013614 seconds
281.836344 kbps in 0.981222 seconds
273.738063 kbps in 1.000314 seconds
285.141781 kbps in 0.990609 seconds
263.598937 kbps in 0.981400 seconds
282.209875 kbps in 0.990185 seconds
266.017875 kbps in 1.023420 seconds
308.266719 kbps in 0.981358 seconds
283.712500 kbps in 0.993823 seconds
286.983687 kbps in 0.998886 seconds
576.124375 kbps in 1.011004 seconds
572.172625 kbps in 0.989184 seconds
780.701437 kbps in 0.985360 seconds
857.555875 kbps in 1.005826 seconds
619.128438 kbps in 1.018128 seconds
799.464125 kbps in 1.000300 seconds
299.302344 kbps in 0.980253 seconds
191.231531 kbps in 0.981721 seconds
229.949531 kbps in 1.008430 seconds
247.475453 kbps in 0.990967 seconds
216.026578 kbps in 0.998729 seconds
239.387047 kbps in 0.988391 seconds
239.467641 kbps in 1.013281 seconds
223.899484 kbps in 0.981762 seconds
231.745656 kbps in 0.980178 seconds
215.427266 kbps in 0.994266 seconds
158.304000 kbps in 1.016222 seconds
212.201844 kbps in 1.011716 seconds
214.409250 kbps in 0.985853 seconds
233.925219 kbps in 0.983015 seconds
236.575813 kbps in 1.003450 seconds
231.701156 kbps in 1.021212 seconds
214.373234 kbps in 1.003894 seconds
